state,district,year,suicide_count,rainfall_mm,yield_kg_ha,debt_per_farmer,msp_gap_percent,insurance_coverage_percent,crop_failure_percent,risk_level
Rajasthan,Kurnool,2021,129,302,1989,73527,48,37,75,High
Maharashtra,Sangrur,2021,103,571,1579,89234,30,66,76,High
Andhra Pradesh,Bidar,2016,5,1342,3006,153765,22,30,6,Low
Telangana,Sangrur,2019,90,424,4425,255898,47,84,66,Medium
Andhra Pradesh,Yavatmal,2022,41,777,4423,141086,34,69,43,Medium
Karnataka,Sangrur,2018,137,1053,2877,188763,13,41,74,High
Andhra Pradesh,Warangal,2022,120,1479,4326,185604,28,46,66,High
Punjab,Nagaur,2019,124,1478,3936,263820,7,17,45,High
Telangana,Bidar,2020,129,1570,1666,85841,5,36,71,High
Punjab,Warangal,2018,5,928,2629,33696,43,82,17,Low
Andhra Pradesh,Warangal,2019,131,992,4162,93811,5,5,58,High
Telangana,Warangal,2021,156,1589,1314,148474,45,9,65,High
Rajasthan,Yavatmal,2022,77,1032,2603,217647,15,60,51,Medium
Telangana,Yavatmal,2017,113,702,2132,129003,11,51,71,High
Andhra Pradesh,Kurnool,2020,15,431,3838,104601,24,19,8,Low
Punjab,Nagaur,2018,64,774,3883,208048,7,28,27,Medium
Andhra Pradesh,Warangal,2016,26,835,4075,177745,27,57,23,Low
Andhra Pradesh,Nagaur,2019,15,980,1824,295976,10,61,10,Low
Rajasthan,Kurnool,2019,129,511,2538,218799,26,51,68,High
Rajasthan,Sangrur,2021,155,719,3798,246232,9,17,58,High
Rajasthan,Nagaur,2019,38,836,2135,60106,18,61,47,Low
Rajasthan,Kurnool,2020,7,960,2991,45088,20,63,31,Low
Maharashtra,Sangrur,2016,44,1066,1253,169784,21,15,10,Medium
Telangana,Warangal,2021,99,452,2658,172180,42,69,63,High
Telangana,Bidar,2015,110,1194,2111,115774,36,43,70,High
Maharashtra,Kurnool,2020,5,612,4664,96216,33,77,13,Low
Rajasthan,Warangal,2018,70,544,2538,55675,49,59,64,Medium
Karnataka,Sangrur,2016,104,1423,2567,159887,8,22,43,High
Punjab,Nagaur,2016,42,1593,1673,198636,8,63,29,Medium
Rajasthan,Bidar,2015,18,1491,3386,161060,5,73,27,Low
Rajasthan,Kurnool,2022,5,958,3763,213887,47,78,20,Low
Telangana,Yavatmal,2022,5,1345,1882,247400,41,76,7,Low
Punjab,Yavatmal,2022,114,1314,1594,136464,16,57,75,High
Punjab,Warangal,2015,80,1201,4168,171880,32,82,69,Medium
Rajasthan,Yavatmal,2022,76,318,1725,282100,6,51,39,Medium
Karnataka,Kurnool,2018,115,690,4662,105277,27,23,54,High
Andhra Pradesh,Yavatmal,2021,15,1013,1360,124776,12,66,29,Low
Karnataka,Yavatmal,2020,52,1648,2435,186989,45,73,41,Medium
Punjab,Bidar,2018,5,1318,3434,75833,38,39,2,Low
Rajasthan,Nagaur,2016,91,1762,4366,124876,42,24,41,Medium
Telangana,Sangrur,2018,135,666,4905,160356,38,26,67,High
Punjab,Yavatmal,2015,70,780,4423,124767,10,63,59,Medium
Andhra Pradesh,Warangal,2015,32,894,2177,216633,19,63,22,Low
Andhra Pradesh,Sangrur,2022,126,1167,1609,114381,29,32,65,High
Andhra Pradesh,Warangal,2021,64,1116,4208,283091,23,5,10,Medium
Karnataka,Kurnool,2020,56,917,3975,112289,31,58,50,Medium
Telangana,Sangrur,2019,204,1450,2432,292043,19,8,73,High
Telangana,Bidar,2017,99,676,2064,296161,24,44,39,High
Andhra Pradesh,Warangal,2021,58,1323,2598,90128,9,47,48,Medium
Punjab,Kurnool,2016,5,1262,4901,211561,37,79,16,Low
Rajasthan,Yavatmal,2016,83,938,1274,143143,7,78,65,Medium
Punjab,Nagaur,2016,107,1020,4144,204588,10,43,60,High
Rajasthan,Kurnool,2015,53,867,4258,93610,42,44,36,Medium
Telangana,Sangrur,2019,140,1658,3139,185489,26,15,58,High
Telangana,Nagaur,2022,119,434,4644,215194,28,72,79,High
Punjab,Nagaur,2020,205,420,4456,297247,33,9,74,High
Punjab,Kurnool,2021,5,1102,1963,42356,5,72,12,Low
Karnataka,Kurnool,2019,5,1642,2913,272998,36,59,5,Low
Rajasthan,Yavatmal,2015,5,1685,1313,53408,25,65,9,Low
Punjab,Kurnool,2017,161,1362,1661,253861,9,46,76,High
Punjab,Nagaur,2015,32,1194,3773,220920,33,41,13,Low
Telangana,Kurnool,2015,71,1570,4687,276356,6,10,18,Medium
Rajasthan,Bidar,2020,62,534,3463,182185,14,40,34,Medium
Maharashtra,Warangal,2017,75,505,4750,208933,23,19,28,Medium
Punjab,Kurnool,2015,87,1498,4360,66320,23,71,74,Medium
Maharashtra,Bidar,2019,114,1245,2377,263612,5,38,48,High
Andhra Pradesh,Bidar,2019,47,1131,4388,237772,43,30,17,Medium
Andhra Pradesh,Kurnool,2016,117,604,4522,191081,43,57,65,High
Rajasthan,Bidar,2017,74,550,2788,193202,19,33,32,Medium
Karnataka,Nagaur,2018,61,1396,3679,279664,33,84,41,Medium
Telangana,Sangrur,2020,91,1522,1717,210882,6,45,45,Medium
Punjab,Sangrur,2019,37,1241,1541,53185,6,12,22,Low
Telangana,Bidar,2022,85,591,4406,186379,49,86,66,Medium
Andhra Pradesh,Nagaur,2021,5,831,2983,206348,46,71,3,Low
Punjab,Nagaur,2018,5,1142,4193,139162,36,34,2,Low
Karnataka,Warangal,2021,32,1447,2505,205607,19,52,25,Low
Karnataka,Yavatmal,2016,93,1691,4500,131158,36,62,64,High
Andhra Pradesh,Sangrur,2021,93,1415,2288,196782,32,10,29,High
Punjab,Kurnool,2022,64,1157,1803,227097,41,66,42,Medium
Maharashtra,Kurnool,2019,5,566,1053,46999,44,63,2,Low
Maharashtra,Warangal,2017,30,1530,2359,79522,30,27,18,Low
Rajasthan,Nagaur,2015,34,538,1194,123405,5,49,28,Low
Andhra Pradesh,Sangrur,2018,136,1202,4861,158585,43,57,79,High
Telangana,Nagaur,2022,52,1663,4940,183939,16,37,28,Medium
Karnataka,Kurnool,2021,149,833,2093,181956,36,39,79,High
Telangana,Nagaur,2016,125,1201,2240,95901,44,33,71,High
Andhra Pradesh,Nagaur,2016,53,1581,4335,211429,42,52,27,Medium
Telangana,Sangrur,2019,29,1098,2114,134927,14,71,35,Low
Andhra Pradesh,Kurnool,2015,109,1102,2011,278724,15,34,48,High
Rajasthan,Nagaur,2021,5,761,1919,197679,47,62,3,Low
Andhra Pradesh,Kurnool,2019,22,437,1338,106312,8,65,29,Low
Punjab,Yavatmal,2016,25,872,3986,143711,23,28,11,Low
Maharashtra,Warangal,2019,123,1514,2338,231604,25,16,50,High
Rajasthan,Bidar,2016,6,1791,4749,109768,18,79,32,Low
Andhra Pradesh,Yavatmal,2017,98,993,2745,208646,15,25,44,High
Karnataka,Sangrur,2021,61,1156,2000,114425,26,87,65,Medium
Telangana,Bidar,2021,5,915,1405,91169,21,50,14,Low
Telangana,Yavatmal,2022,125,674,4130,264538,19,16,40,High
Rajasthan,Nagaur,2017,171,1479,4255,218505,34,17,77,High
Andhra Pradesh,Bidar,2020,63,1761,4609,286875,44,47,22,Medium
Andhra Pradesh,Yavatmal,2020,94,939,3387,55517,47,11,45,High
Punjab,Kurnool,2021,102,387,4327,150318,13,39,51,High
Andhra Pradesh,Yavatmal,2015,126,1546,3678,217655,19,24,53,High
Karnataka,Bidar,2022,105,1109,4421,121036,23,15,50,High
Telangana,Yavatmal,2016,105,1062,3323,230753,42,14,32,High
Andhra Pradesh,Warangal,2017,149,883,2319,198171,27,15,64,High
Andhra Pradesh,Nagaur,2022,61,1383,1649,283347,17,40,26,Medium
Maharashtra,Nagaur,2021,112,1699,4542,205745,35,15,46,High
Rajasthan,Yavatmal,2022,122,1451,3285,220359,39,48,60,High
Karnataka,Yavatmal,2015,89,1762,3153,282084,38,13,22,Medium
Karnataka,Yavatmal,2017,155,1271,1935,103616,19,19,79,High
Andhra Pradesh,Bidar,2022,82,692,1039,61379,30,89,77,Medium
Karnataka,Warangal,2018,5,1361,2234,36587,11,52,18,Low
Telangana,Sangrur,2015,5,523,3877,64700,49,85,6,Low
Andhra Pradesh,Bidar,2018,5,569,2630,118059,43,76,25,Low
Punjab,Nagaur,2021,5,1745,3167,111972,34,71,28,Low
Andhra Pradesh,Nagaur,2016,92,1019,1405,245286,12,66,57,Medium
Rajasthan,Sangrur,2016,85,686,2791,125408,35,73,62,Medium
Karnataka,Bidar,2021,31,1065,1724,237609,24,26,4,Low
Andhra Pradesh,Yavatmal,2016,28,575,3547,122876,21,58,36,Low
Karnataka,Kurnool,2015,82,1381,2351,101386,49,27,46,Medium
Punjab,Yavatmal,2021,145,998,1780,251094,41,32,61,High
Maharashtra,Nagaur,2016,5,1212,4357,227478,17,86,13,Low
Andhra Pradesh,Nagaur,2019,80,1148,3983,273154,19,77,52,Medium
Telangana,Kurnool,2021,71,683,2715,151757,37,61,52,Medium
Rajasthan,Bidar,2018,41,1038,2866,230399,13,36,15,Medium
Karnataka,Kurnool,2020,144,1316,1952,254135,12,31,62,High
Karnataka,Sangrur,2022,14,1365,4773,189882,43,47,17,Low
Maharashtra,Kurnool,2019,136,723,4478,206469,42,41,64,High
Rajasthan,Bidar,2015,89,526,2394,184455,25,70,63,Medium
Punjab,Warangal,2017,129,572,2029,172482,42,32,66,High
Andhra Pradesh,Sangrur,2018,113,1541,3224,238547,17,56,58,High
Karnataka,Warangal,2021,32,999,2517,232834,39,60,28,Low
Maharashtra,Yavatmal,2022,102,908,3494,165639,20,8,38,High
Punjab,Bidar,2021,29,1211,1183,33358,28,18,25,Low
Punjab,Yavatmal,2022,54,809,3677,237849,13,30,20,Medium
Maharashtra,Sangrur,2017,5,451,2028,248306,31,84,15,Low
Telangana,Bidar,2019,22,1605,2710,298449,27,54,12,Low
Karnataka,Nagaur,2015,56,969,4970,189892,29,88,49,Medium
Rajasthan,Kurnool,2020,131,1183,3341,134188,19,56,79,High
Karnataka,Kurnool,2022,122,1188,3937,154997,47,51,68,High
Andhra Pradesh,Warangal,2017,32,1025,1871,236486,7,44,10,Low
Karnataka,Sangrur,2019,132,491,3052,273767,49,73,73,High
Maharashtra,Bidar,2022,59,1118,3077,298042,32,80,39,Medium
Punjab,Kurnool,2019,89,1761,1731,230569,34,77,58,Medium
Maharashtra,Warangal,2015,106,1196,2462,252820,5,69,63,High
Rajasthan,Yavatmal,2019,5,1658,2232,132421,42,84,8,Low
Karnataka,Bidar,2020,5,901,2676,108672,18,49,6,Low
Rajasthan,Nagaur,2021,91,371,4516,272318,31,17,31,Medium
Telangana,Nagaur,2019,48,1281,3617,152672,27,38,26,Medium
Andhra Pradesh,Yavatmal,2018,67,689,1709,191215,22,8,17,Medium
Rajasthan,Kurnool,2021,130,683,1555,139430,19,23,63,High
Telangana,Sangrur,2015,65,718,2938,179395,40,39,32,Medium
Telangana,Kurnool,2019,77,444,4398,199024,39,36,36,Medium
Rajasthan,Yavatmal,2022,53,697,2956,200863,19,72,40,Medium
Telangana,Nagaur,2018,23,728,3905,278044,6,35,3,Low
Punjab,Bidar,2021,41,1261,4847,216950,48,61,30,Medium
Rajasthan,Yavatmal,2016,72,1520,4956,177878,38,47,45,Medium
Rajasthan,Nagaur,2022,5,793,3667,82227,33,27,6,Low
Maharashtra,Yavatmal,2022,109,756,2764,219651,10,67,67,High
Punjab,Sangrur,2015,15,1419,2411,51438,8,85,41,Low
Andhra Pradesh,Nagaur,2022,5,753,4362,245189,15,81,3,Low
Telangana,Warangal,2021,5,1593,1224,142752,45,77,23,Low
Punjab,Kurnool,2021,166,1392,4118,224840,32,29,74,High
Maharashtra,Bidar,2020,147,1637,1605,140966,45,29,78,High
Telangana,Yavatmal,2016,89,398,2482,142138,25,25,45,Medium
Karnataka,Nagaur,2022,63,557,3891,208296,46,86,54,Medium
Karnataka,Sangrur,2016,111,782,2012,31881,20,10,57,High
Punjab,Yavatmal,2018,40,1656,2923,225558,6,63,27,Low
Rajasthan,Warangal,2018,13,440,2789,58202,21,67,36,Low
Andhra Pradesh,Yavatmal,2022,119,1103,3843,124837,33,51,76,High
Rajasthan,Nagaur,2016,135,1394,3028,152035,41,33,67,High
Telangana,Nagaur,2018,104,760,1617,83311,41,31,55,High
Andhra Pradesh,Warangal,2015,16,1137,1830,33969,26,20,18,Low
Rajasthan,Warangal,2020,85,344,2810,116486,38,17,43,Medium
Rajasthan,Warangal,2018,89,1690,1931,206968,43,23,38,Medium
Telangana,Bidar,2018,45,1332,2311,71347,22,9,20,Medium
Andhra Pradesh,Nagaur,2016,22,1288,4371,257105,17,46,9,Low
Telangana,Sangrur,2016,52,777,2182,237288,25,65,31,Medium
Andhra Pradesh,Yavatmal,2017,40,1461,1129,128064,36,20,16,Low
Andhra Pradesh,Sangrur,2022,176,428,1906,194726,25,8,71,High
Maharashtra,Warangal,2021,113,1548,2371,299279,5,51,53,High
Maharashtra,Yavatmal,2022,83,1431,3578,139863,47,79,67,Medium
Punjab,Yavatmal,2017,129,1180,3229,33009,20,6,60,High
Rajasthan,Warangal,2015,61,1419,4452,272471,37,81,42,Medium
Andhra Pradesh,Nagaur,2022,112,1560,4605,284136,24,31,41,High
Maharashtra,Yavatmal,2015,124,1645,3059,297687,13,80,73,High
Karnataka,Yavatmal,2022,55,1087,4110,148843,6,69,51,Medium
Rajasthan,Sangrur,2016,53,868,2101,274929,33,19,12,Medium
Telangana,Warangal,2019,52,1170,1279,279737,18,22,14,Medium
Maharashtra,Warangal,2020,54,1777,1035,109267,26,82,61,Medium
Karnataka,Bidar,2019,5,463,1147,37697,42,71,23,Low
Punjab,Sangrur,2019,103,1775,3708,221591,18,82,70,High
Karnataka,Kurnool,2021,124,1465,3364,246621,36,19,44,High
Karnataka,Nagaur,2021,156,855,1609,136244,49,31,78,High
Punjab,Bidar,2019,48,1610,2378,153664,32,87,54,Medium
Andhra Pradesh,Sangrur,2018,21,590,2668,274936,33,74,25,Low
Andhra Pradesh,Kurnool,2018,12,1030,4672,60791,5,88,44,Low
Rajasthan,Sangrur,2019,79,353,2753,98111,39,24,46,Medium
Karnataka,Yavatmal,2019,73,1434,1128,124913,33,88,70,Medium
Andhra Pradesh,Sangrur,2015,5,430,3235,158674,9,80,20,Low
Telangana,Sangrur,2020,51,1425,4034,167900,47,17,13,Medium
Andhra Pradesh,Kurnool,2020,64,1366,3258,294179,12,46,26,Medium
Andhra Pradesh,Warangal,2015,5,1343,3487,116226,43,55,12,Low
Rajasthan,Sangrur,2016,34,1365,1410,242490,42,47,19,Low
Rajasthan,Warangal,2020,106,1692,2243,31466,11,15,61,High
Karnataka,Warangal,2016,5,951,4634,248532,28,84,13,Low
Rajasthan,Warangal,2017,86,604,3054,237370,32,58,45,Medium
Telangana,Sangrur,2021,15,612,1537,137573,33,87,36,Low
Rajasthan,Sangrur,2020,78,647,1272,90354,20,34,45,Medium
Rajasthan,Bidar,2017,5,657,3665,125790,42,68,7,Low
Maharashtra,Bidar,2015,62,629,1649,113384,11,54,52,Medium
Karnataka,Warangal,2019,77,1511,1929,31539,21,8,43,Medium
Karnataka,Nagaur,2016,17,756,3236,127799,28,87,36,Low
Telangana,Sangrur,2017,88,1606,2567,285821,22,32,29,Medium
Punjab,Sangrur,2017,79,1354,3307,116436,21,43,48,Medium
Maharashtra,Bidar,2018,96,841,4741,168442,6,16,36,High
Maharashtra,Kurnool,2021,146,1778,3300,79593,30,10,70,High
Rajasthan,Sangrur,2019,45,906,4837,133780,34,46,33,Medium
Andhra Pradesh,Warangal,2020,166,1161,1154,246486,13,25,76,High
Punjab,Nagaur,2019,103,570,1769,183267,43,48,54,High
Punjab,Sangrur,2016,5,721,2444,121321,37,63,11,Low
Punjab,Yavatmal,2018,114,1180,2121,178929,48,10,42,High
Rajasthan,Warangal,2022,62,519,1178,203686,13,62,45,Medium
Andhra Pradesh,Yavatmal,2019,158,779,4514,156202,43,19,71,High
Punjab,Sangrur,2016,128,647,1028,41781,16,42,77,High
Punjab,Yavatmal,2018,30,474,2923,72674,25,71,45,Low
Andhra Pradesh,Sangrur,2022,5,308,4899,233085,17,75,15,Low
Rajasthan,Yavatmal,2015,160,1731,3160,121563,5,14,72,High
Karnataka,Yavatmal,2018,70,1668,4536,219933,18,45,36,Medium
Rajasthan,Kurnool,2017,38,1348,2553,285116,47,82,28,Low
Punjab,Warangal,2021,151,1764,4163,125386,36,13,68,High
Karnataka,Yavatmal,2022,121,622,3969,285493,20,28,48,High
Rajasthan,Kurnool,2019,110,447,2141,153246,22,70,74,High
Maharashtra,Warangal,2021,100,1272,2137,287134,15,23,35,High
Andhra Pradesh,Yavatmal,2020,55,1337,1373,110428,48,69,51,Medium
Rajasthan,Nagaur,2017,126,375,1438,244304,23,32,52,High
Andhra Pradesh,Yavatmal,2017,165,426,2506,244183,20,42,77,High
Telangana,Sangrur,2018,5,984,4629,224795,26,89,26,Low
Andhra Pradesh,Bidar,2015,32,364,2669,157039,27,47,23,Low
Punjab,Yavatmal,2021,86,1786,4296,113860,43,27,45,Medium
Maharashtra,Sangrur,2021,20,979,1434,51638,24,10,9,Low
Karnataka,Kurnool,2016,5,595,3159,78940,17,53,20,Low
Rajasthan,Kurnool,2018,130,1724,1027,184536,6,29,58,High
Karnataka,Nagaur,2017,5,548,4068,30901,49,79,14,Low
Punjab,Kurnool,2017,38,1548,4735,232258,22,68,35,Low
Telangana,Bidar,2019,65,807,4197,173704,20,23,23,Medium
Karnataka,Nagaur,2017,109,1140,2664,151897,23,38,55,High
Maharashtra,Bidar,2019,77,344,4717,261444,10,52,39,Medium
Maharashtra,Nagaur,2015,30,1055,1273,220195,13,19,4,Low
Karnataka,Kurnool,2015,90,453,2411,57856,20,19,52,Medium
Andhra Pradesh,Warangal,2021,117,922,4841,197516,17,8,42,High
Maharashtra,Kurnool,2021,129,916,2031,292210,13,15,42,High
Telangana,Kurnool,2018,112,848,2097,54648,11,6,56,High
Andhra Pradesh,Kurnool,2020,83,478,3244,47118,29,35,50,Medium
Telangana,Bidar,2019,111,1453,3712,295228,43,74,67,High
Maharashtra,Sangrur,2020,111,1151,2215,231682,26,63,60,High
Rajasthan,Nagaur,2022,102,683,3263,98968,8,19,55,High
Rajasthan,Bidar,2017,38,1169,2635,275277,23,53,16,Low
Rajasthan,Sangrur,2022,5,894,2577,137792,49,81,7,Low
Maharashtra,Warangal,2015,142,817,4991,277941,33,29,55,High
Rajasthan,Sangrur,2016,5,1706,4186,102573,38,32,3,Low
Rajasthan,Kurnool,2020,79,1246,4673,145375,25,58,56,Medium
Rajasthan,Sangrur,2022,93,478,2811,82335,36,63,71,High
Andhra Pradesh,Bidar,2019,77,490,2223,222898,49,11,27,Medium
Punjab,Nagaur,2021,76,471,4158,100474,46,37,50,Medium
Andhra Pradesh,Bidar,2017,119,682,3256,203615,36,7,47,High
Telangana,Nagaur,2021,53,1691,4324,143758,21,28,23,Medium
Maharashtra,Nagaur,2020,5,1658,4150,151635,12,83,3,Low
Andhra Pradesh,Bidar,2016,29,1283,2511,267919,36,17,1,Low
Rajasthan,Warangal,2020,18,1188,4420,184721,22,75,31,Low
Rajasthan,Sangrur,2020,111,685,4280,289021,29,60,61,High
Andhra Pradesh,Yavatmal,2016,57,1451,3672,170202,21,84,58,Medium
Telangana,Kurnool,2021,121,1161,4461,237440,43,73,69,High
Punjab,Bidar,2019,138,1008,2449,160744,6,13,64,High
Andhra Pradesh,Nagaur,2017,5,1177,2632,159553,11,69,1,Low
Telangana,Kurnool,2016,32,1606,2706,73066,36,37,28,Low
Karnataka,Warangal,2018,5,617,2487,101537,46,60,13,Low
Rajasthan,Kurnool,2015,128,528,1170,243286,46,85,79,High
Rajasthan,Sangrur,2020,118,1061,1865,202857,8,71,71,High
Maharashtra,Nagaur,2020,24,492,2091,61601,47,33,21,Low
Karnataka,Sangrur,2021,76,1621,4506,259047,10,24,27,Medium
Karnataka,Nagaur,2015,46,1692,1535,264453,39,66,30,Medium
Telangana,Nagaur,2019,41,724,3601,167152,35,34,18,Medium
Rajasthan,Nagaur,2021,86,1284,2230,185063,26,71,56,Medium
Karnataka,Warangal,2016,8,1437,2916,94384,25,74,37,Low
Punjab,Bidar,2017,105,1088,2972,62634,44,30,65,High
Maharashtra,Sangrur,2015,5,834,4462,34011,11,83,34,Low
Andhra Pradesh,Warangal,2020,77,889,2039,280463,23,6,10,Medium
Andhra Pradesh,Bidar,2019,5,951,2861,297413,36,88,1,Low
Andhra Pradesh,Yavatmal,2020,69,510,4985,243893,49,27,23,Medium
Telangana,Sangrur,2016,78,1420,4022,79699,49,59,64,Medium
Andhra Pradesh,Yavatmal,2021,5,1147,1598,38997,20,82,29,Low
Punjab,Kurnool,2016,160,468,3728,222150,11,7,58,High
Punjab,Bidar,2015,146,569,2203,138255,10,14,71,High
Rajasthan,Warangal,2019,108,425,4003,171385,46,55,64,High
Karnataka,Nagaur,2017,148,583,2744,222319,6,40,71,High
Karnataka,Warangal,2020,24,746,1985,293136,15,78,25,Low
Punjab,Kurnool,2020,112,340,1428,140957,37,21,57,High
Karnataka,Warangal,2020,61,1283,4720,176768,21,54,40,Medium
Andhra Pradesh,Kurnool,2016,52,994,1924,193991,14,21,18,Medium
Telangana,Kurnool,2019,14,1405,2552,81272,18,53,29,Low
Maharashtra,Sangrur,2018,181,1699,4959,183706,48,13,77,High
Punjab,Warangal,2019,46,546,1530,109795,30,30,26,Medium
Telangana,Bidar,2016,54,1454,3497,41049,23,21,33,Medium
Karnataka,Sangrur,2017,71,1372,1566,251849,39,76,52,Medium
Andhra Pradesh,Nagaur,2021,124,1369,3349,200851,20,28,61,High
Karnataka,Bidar,2016,5,1441,3511,95679,12,33,6,Low
Telangana,Bidar,2020,110,1110,3713,206326,37,30,45,High
Punjab,Warangal,2018,29,758,2537,288667,34,53,12,Low
Karnataka,Kurnool,2020,94,1193,3657,187977,25,32,48,High
Maharashtra,Yavatmal,2015,44,386,2102,213500,27,85,48,Medium
Telangana,Warangal,2017,132,857,1898,256486,16,44,66,High
Rajasthan,Sangrur,2016,69,537,2157,294140,40,26,18,Medium
Telangana,Sangrur,2020,27,1696,4122,231798,36,52,19,Low
Telangana,Sangrur,2019,25,918,3404,90038,9,15,15,Low
Maharashtra,Kurnool,2021,5,1616,2032,219826,33,74,17,Low
Andhra Pradesh,Bidar,2017,5,721,4911,64409,28,39,14,Low
Maharashtra,Warangal,2020,136,663,3166,75689,21,21,67,High
Karnataka,Warangal,2021,5,815,3985,153745,46,89,4,Low
Andhra Pradesh,Sangrur,2016,132,1335,2104,211089,10,12,51,High
Karnataka,Warangal,2015,16,1325,3567,106411,40,14,8,Low
Andhra Pradesh,Yavatmal,2018,114,552,2549,219167,25,25,50,High
Telangana,Bidar,2015,133,709,2445,191323,26,48,74,High
Karnataka,Sangrur,2016,5,1617,1919,133986,14,76,21,Low
Andhra Pradesh,Bidar,2020,106,338,3007,219216,22,60,57,High
Telangana,Yavatmal,2017,74,409,2016,274255,46,30,25,Medium
Maharashtra,Bidar,2018,122,531,2917,255756,35,68,71,High
Karnataka,Kurnool,2016,80,829,3734,53777,24,39,51,Medium
Andhra Pradesh,Nagaur,2016,90,921,4837,167799,34,48,53,Medium
Telangana,Bidar,2017,119,493,4257,141776,17,44,68,High
Punjab,Yavatmal,2019,120,1161,4346,235753,27,58,65,High
Maharashtra,Kurnool,2015,91,356,3159,79156,30,34,54,Medium
Punjab,Kurnool,2017,163,389,3663,90282,16,6,75,High
Telangana,Yavatmal,2019,50,784,4029,43569,41,11,26,Medium
Rajasthan,Warangal,2015,35,843,3830,35636,15,78,52,Low
Karnataka,Kurnool,2020,20,1501,1654,84633,11,44,28,Low
Telangana,Kurnool,2020,99,876,1899,222537,41,27,40,High
Punjab,Nagaur,2019,77,554,1067,86116,46,29,44,Medium
Maharashtra,Kurnool,2022,168,1307,3400,187403,13,16,69,High
Rajasthan,Warangal,2022,75,398,1196,188177,38,81,58,Medium
Punjab,Yavatmal,2020,100,1135,2204,112464,11,60,72,High
Punjab,Yavatmal,2017,130,676,1654,118741,19,9,54,High
Maharashtra,Warangal,2020,141,303,3910,136471,40,29,76,High
Telangana,Kurnool,2017,109,872,2332,135386,39,67,78,High
Andhra Pradesh,Bidar,2021,172,728,1433,289278,32,46,76,High
Andhra Pradesh,Yavatmal,2016,110,1490,3911,291849,21,39,46,High
Rajasthan,Yavatmal,2015,99,1769,3341,55494,26,8,49,High
Telangana,Yavatmal,2015,82,771,4815,163501,35,35,40,Medium
Punjab,Sangrur,2016,67,988,3427,196991,17,19,27,Medium
Rajasthan,Warangal,2020,117,1743,1706,127493,26,53,76,High
Telangana,Yavatmal,2021,38,1569,4155,222718,27,32,16,Low
Andhra Pradesh,Bidar,2016,47,336,1332,242369,18,66,36,Medium
Telangana,Warangal,2017,11,664,4371,123944,48,72,34,Low
Andhra Pradesh,Yavatmal,2022,143,341,2320,145140,14,14,60,High
Andhra Pradesh,Bidar,2018,107,1180,4814,229757,25,34,49,High
Karnataka,Kurnool,2016,111,996,4645,295660,44,42,43,High
Telangana,Yavatmal,2015,5,1315,3656,33626,40,14,6,Low
Maharashtra,Sangrur,2019,103,391,1126,126055,27,24,54,High
Andhra Pradesh,Yavatmal,2021,5,1380,2628,189762,37,69,3,Low
Andhra Pradesh,Sangrur,2015,70,851,4394,121288,49,59,52,Medium
Andhra Pradesh,Yavatmal,2019,81,1507,2391,52486,10,81,73,Medium
Andhra Pradesh,Yavatmal,2017,101,510,1503,103606,46,46,59,High
Karnataka,Bidar,2017,151,1242,1257,192403,23,21,69,High
Maharashtra,Kurnool,2020,85,1062,2104,232278,40,44,45,Medium
Rajasthan,Bidar,2019,182,503,3243,278003,28,18,69,High
Maharashtra,Bidar,2017,5,1079,2233,38720,34,79,23,Low
Karnataka,Warangal,2015,172,570,2947,211143,39,31,76,High
Karnataka,Kurnool,2015,10,408,3688,179001,36,66,18,Low
Rajasthan,Sangrur,2018,34,829,1678,59777,48,76,54,Low
Telangana,Yavatmal,2018,57,1361,2978,196280,13,76,51,Medium
Maharashtra,Kurnool,2020,29,457,2027,232918,24,68,25,Low
Maharashtra,Sangrur,2020,98,1473,4230,188998,24,42,55,High
Karnataka,Bidar,2021,60,1674,3187,176025,9,54,42,Medium
Telangana,Warangal,2021,126,957,3497,75641,19,21,68,High
Rajasthan,Bidar,2021,87,1575,3042,63477,42,49,58,Medium
Rajasthan,Yavatmal,2018,5,1401,1325,172692,36,71,3,Low
Punjab,Sangrur,2019,49,631,4164,219103,21,11,13,Medium
Telangana,Yavatmal,2021,76,899,2552,133475,10,87,69,Medium
Karnataka,Sangrur,2019,79,1022,1276,237383,42,8,24,Medium
Punjab,Warangal,2015,74,1168,2191,260063,39,60,40,Medium
Telangana,Nagaur,2020,5,1464,1666,43731,44,85,2,Low
Telangana,Yavatmal,2018,100,1671,1170,124202,30,26,55,High
Punjab,Warangal,2016,29,695,1727,241027,43,43,13,Low
Karnataka,Kurnool,2019,81,1591,2548,285095,14,61,40,Medium
Andhra Pradesh,Sangrur,2017,6,816,3777,236717,11,60,10,Low
Telangana,Yavatmal,2017,116,842,4658,242204,11,70,70,High
Telangana,Bidar,2016,19,763,4992,134843,11,43,17,Low
Punjab,Nagaur,2019,118,1414,1749,211413,6,88,79,High
Andhra Pradesh,Kurnool,2015,63,1375,2312,76705,9,22,38,Medium
Rajasthan,Sangrur,2021,5,1131,3697,45994,48,86,16,Low
Punjab,Yavatmal,2018,94,813,3397,262911,9,57,45,High
Andhra Pradesh,Sangrur,2020,60,1637,3540,87241,11,46,47,Medium
Andhra Pradesh,Warangal,2016,44,523,3201,208735,35,23,9,Medium
Telangana,Nagaur,2017,91,1315,3111,65187,15,62,75,Medium
Andhra Pradesh,Nagaur,2020,108,365,3650,296186,22,69,63,High
